Disease,Recommendations
Fractura de șold,"Primul ajutor: Imobilizarea membrului afectat (cu bandaj, atele). Primul ajutor: Acoperirea zonei fracturate cu material curat (în caz de fractură deschisă). Primul ajutor: Hemostază prin comprimare (în caz de sângerare). Tratament conservator: Reducerea ortopedică a fragmentelor de fractură. Tratament conservator: Imobilizarea fragmentelor de fractură până la consolidare. Tratament chirurgical: Osteosinteză (fixare internă cu șuruburi, broșe etc.). Tratament chirurgical: Fixare externă a fracturii (cu fixator extern). Recuperare funcțională: Contracții izometrice ale musculaturii. Recuperare funcțională: Contracții izotonice ale musculaturii. Recuperare funcțională: Kinetoterapie. Recuperare funcțională: Ergoterapie. Recuperare funcțională: Hidroterapie."
Fractura dentară,"Pilirea colţurilor aspre ale dinţilor ciobiţi (cu burghiu dentar sau pilă dentară) - pentru fracturi Ellis I. Repararea cosmetică a dintelui - pentru fracturi Ellis I. Acoperirea zonelor expuse de dentină cu oxid de zinc sau pastă de hidroxid de calciu - pentru fracturi Ellis II şi III. Menținerea dintelui complet uscat pentru aderența pastei de hidroxid de calciu. Acoperirea dintelui cu folie de aluminiu sau folie dentară - pentru fracturi Ellis II şi III. Consult de urgenţă la medicul dentist - pentru fracturi Ellis III, fracturi de rădăcină și dento-alveolare. Verificarea periodică de către medicul dentist timp de mai multe săptămâni - pentru fracturi de rădăcină și dento-alveolare. Evitarea utilizării cerii pentru oase în fracturi dentare deschise."
Fractura deschisă,"Primul ajutor: stoparea sângerărilor (presiune, bandaj steril), imobilizarea membrului (atelă), evitarea mișcărilor inutile, monitorizare, solicitare ambulanță. Intervenție chirurgicală de urgență. Irigarea plăgii (cu volume mari de fluide). Toaleta chirurgicală a plăgii. Debridarea țesuturilor neviabile (inclusiv osos). Stabilizarea focarului de fractură (fixare internă cu plăci, șuruburi, tije centromedulare; fixator extern - temporar). Recuperare: kinetoterapie și fizioterapie."
Fractura femurală (diafizară),"Imobilizare în prespital (ex: atele Hare, Thomas). Irigare răni deschise cu soluție salină sterilă. Acoperire răni deschise cu pansamente sterile umede. Reducere manuală a fracturii (sub sedare). Fixare temporară în spital (ex: atelă simplă, pneumatică). Administrare fluide intravenos (soluții cristaline, coloidale, transfuzii de sânge). Tratament chirurgical (de elecție). Osteosinteză cu tijă centromedulară (anterograd sau retrograd). Osteosinteză cu plăci și șuruburi. Fixator extern (temporar sau în cazuri speciale). Mobilizare precoce post-chirurgicală. Exerciții de întărire a musculaturii coapsei și gambei. Recuperare progresivă a mobilității (mers cu cârje, apoi fără). Controale radiologice periodice post-operatorii. Tratament non-chirurgical (rar la adulți, mai frecvent la copii). Ham Pavlik (pentru sugari sub 6 luni). Gips special („spica”) (pentru copii între 7 luni și 5 ani). Dispozitive de tracțiune (la copii sau temporar la adulți). Tratament conservator pentru fracturi de stres (odihnă, folosirea cârjelor, recuperare gradată). Adaptarea activităților fizice (înot, bicicletă staționară) în recuperarea fracturilor de stres. Eliminarea factorilor cauzali pentru fracturile de stres (echipament sportiv nepotrivit, alergatul pe suprafețe inadecvate)."
Fractura humerusului,"Tratament ortopedic (nechirurgical). Imobilizare (bandaj toraco-brahial, atelă gipsată). Mobilizare treptată post-imobilizare. Fizioterapie / Recuperare medicală. Reducere închisă (ortopedică). Tratament chirurgical. Reducere deschisă (sângerândă). Fixare internă (osteosinteză). Fixare percutanată cu broșe. Fixare cu șuruburi. Fixare cu plăci metalice. Fixare cu tije intramedulare (osteosinteză centromedulară). Artroplastie (înlocuire articulară, parțială sau totală). Intervenție chirurgicală imediată în caz de leziuni neurovasculare sau fractură deschisă. Controlul durerii."
Fractura ischio-pubiană,"odihna. mobilizarea precoce (pentru fracturi cu deplasare minimă sau fără deplasare). management conservator (pentru fracturi cu deplasare minimă sau fără deplasare). intervenție chirurgicală (pentru fracturi cu deplasare). procedură de reducere a fragmentelor deplasate. fixare internă prin plăci, șuruburi sau tije. reabilitare extinsă. terapie fizică. exerciții fizice. antrenamente pe bază de mers. activități funcționale."
Fractura în lemn verde,Imobilizare cu aparat gipsat (pentru fracturi fără deplasare sau cu deplasare minimă). Imobilizare cu atelă. Reducere ortopedică închisă (pentru fracturi deplasate). Intervenție chirurgicală pentru realinierea componentelor osoase (rar).
Fractura la copii,"Îngrijire medicală de urgenţă. Imobilizarea zonei afectate. Nu mișcați copilul dacă suspectați traumatism la cap, gât sau spate. În caz de fractură deschisă: aplică presiune cu compresă curată, menține copilul imobilizat, nu spăla leziunea, nu împinge osul înapoi. Tratament ortopedic (aparat ghipsat). Atelă ghipsată (în unele cazuri). Reducere închisă (realinierea capetelor osoase fără operație). Reducere deschisă (intervenție chirurgicală pentru realiniere). Imobilizare ghipsată până la vindecarea osoasă. Monitorizare pe durata unui an dacă există suspiciune de lezare a cartilajului de creștere. Kinetoterapia nu este de obicei necesară post-imobilizare la copii. Tratamentul anticoagulant nu este de obicei necesar la copii (spre deosebire de adulți)."
Fractura mandibulară,"Imobilizare ortopedică cu atele aplicate pe ambele arcade dentare. Fixare elastică inițială (1-2 zile), urmată de fixare rigidă (4-6 săptămâni) pentru majoritatea fracturilor. Imobilizare elastică pentru fracturile de condil (2 săptămâni). Osteosinteza chirurgicală a fragmentelor (fixare cu sârme sau plăcuțe cu șuruburi). Reducerea manuală a fracturii (dacă este posibil și necesar). Control medical săptămânal pentru verificarea imobilizării și monitorizarea complicațiilor."
Fractura piramidei nazale,Aplicarea de gheață. Reducere închisă (aliniere manuală). Controlul sângerării cu meșe din bumbac îmbibate în soluție vasoconstrictoare. Aspirarea cheagurilor de sânge. Meșaj nazal cu comprese (pentru sângerare continuă). Așezarea capului pe un plan ridicat (în timpul somnului). Drenajul hematomului septal (procedură). Reducere deschisă (intervenție chirurgicală). Rinoplastie (corecție tardivă). Septoplastie (corecție tardivă). Reconstrucție nazală dorsală cu grefă costală sau calvariană (în cazuri severe). Tratament chirurgical (între 3-7 zile până la 2 săptămâni post-traumatism).
Fractura tibiei,"Măsuri de prevenire sau diminuare a edemului (aspirare articulară, repaus la pat, imobilizare, compresie locală, ridicarea membrului). Tracțiunea membrului (contraindicată în suspiciunea unei leziuni vasculare). Curățarea fracturilor deschise. Fasciotomie (pentru a preveni sindromul de compartiment). Tratament non-chirurgical (ortopedic): reducere închisă, imobilizare cu aparat gipsat (cruro-pedios, cizmă de mers), mobilizare precoce. Tratament chirurgical: reducere închisă și fixare percutană cu șuruburi. Tratament chirurgical: reducere deschisă și fixare internă (cu șuruburi, plăci înșurubate - tip T, L, tijă centromedulară, hobanaj, șurub de diastazis). Grefă de os (în fracturi cu înfundare). Fixator extern (în fracturi cominutive, deschise sau instabile, sau temporar). Irigare, toaletă chirurgicală și debridarea țesuturilor neviabile (în fracturi deschise). Recuperare medicală (Fizioterapie, Kinetoterapie)."
Fracturile craniului,"Intervenție chirurgicală de urgență (în caz de perforare a durei mater). Monitorizare și tratament specific complicațiilor (hematoame, infecții, leziuni nervoase)."
Fracturile de bazin,"Stabilizarea funcțiilor respiratorie și circulatorie (management inițial). Tratamentul hemoragiei (management inițial). Tratamentul leziunilor viscerale asociate (management inițial). Tratament ortopedic: Repaus la pat (3-4 săptămâni pentru fracturi stabile tip A). Tratament ortopedic: Mobilizare graduală (până la 6-8 săptămâni pentru fracturi stabile tip A). Tratament ortopedic: Utilizarea hamacului (pentru diastaza simfizei pubiene sub 2,5 cm). Tratament ortopedic: Fixator extern (pentru diastaza simfizei pubiene peste 2,5 cm fără rupturi ligamentare posterioare, 6-12 săptămâni). Tratament ortopedic: Fixator extern și extensie continuă longitudinală (10 săptămâni pentru fracturi instabile vertical tip C, la pacienții cu risc operator crescut). Tratament chirurgical: Reducere chirurgicală și fixare cu placă cu șuruburi (pentru diastaza simfizei pubiene peste 2,5 cm cu instabilitate/eșec ortopedic). Tratament chirurgical: Fixare anterioară cu placă suprapubiană sau placă dublă supra- și prepubiană (pentru fracturi instabile tip C). Tratament chirurgical: Fixare posterioară cu bare sau șuruburi (pentru fracturi instabile tip C). Tratament chirurgical: Managementul fracturilor deschise. Tratament chirurgical: Mobilizare precoce postoperatorie."
Fracturile nasului (traumatismul nazal),"Reducerea manuală a fracturilor (în cazuri simple, necominutive). Aplicarea unei forțe opuse forței generatoare pentru reducerea fracturii. Monitorizarea atentă a piramidei nazale și a septului după reducere pentru a ghida consolidarea corectă. Reducerea chirurgicală a fracturilor (indicată în fracturi cominutive, pierdere osoasă, afectare septală gravă, traumatisme mari ale părților moi). Efectuarea intervenției chirurgicale înainte de instalarea vindecării secundare. Reducerea edemului înainte de orice procedură (aplicare comprese reci, menținerea capului în extensie). Intervenție chirurgicală efectuată de obicei la 5-7 zile după traumatism (după reducerea edemului). Aplicarea de comprese reci local. Menținerea capului în extensie. Refacerea chirurgicală a septului nazal pentru a minimiza riscul de perforație. Fixarea și alinierea corectă a septului nazal. Utilizarea plăcuțelor de metal pentru stabilizare (în cazuri grave). Asigurarea permeabilității căilor nazale după intervenție. Evitarea contururilor osoase anormale sau a diformităților post-intervenție. Considerații speciale la tineri (intervenția septală se face după vârsta de 13-14 ani). Considerații speciale la persoanele în vârstă (oase nazale pot fi scurte și fragile)."
Fracturile omoplatului,"Tratament ortopedic: imobilizarea membrului superior afectat cu o eşarfă sau cu un aparat toraco-brahial timp de aproximativ 2 săptămâni. Exerciţii active (după imobilizare). Tratament chirurgical (în cazuri specifice: fracturi intra-articulare ale glenei, fracturi ale colului cu angulare (>40º) sau translaţie mai mare de 1 cm, fracturi deschise, fracturile procesului coracoid cu deplasare > 1 cm). Reducere deschisă urmată de osteosinteză (ca parte a tratamentului chirurgical)."
Fracturile orbitei,"Tratament chirurgical pentru repunerea în poziție normală a osului fracturat (ex. cu croșet pentru osul malar). Reconstrucția planșeului orbitar (cu material sintetic sau grefon osos autolog). Reconstrucția altor pereți orbitari fracturați. Reinsertie musculară (dacă este cazul). Extirparea glandei lacrimale (în caz de luxație/ruptură severă). Repoziționarea tendonului muscular (ex. oblic mare, dacă este smuls). Eliberarea conținutului orbitar herniat. Intervenție chirurgicală în funcție de criterii specifice (dimensiunea fracturii, prezența diplopiei persistente, gradul enoftalmiei, hernierea conținutului). Radiografie de craniu/orbitară (diagnostic). Tomografie computerizată (CT) orbitară (diagnostic detaliat)."
Fracturile radiusului și ulnei,"Tratament ortopedic: imobilizare cu atelă gipsată (fracturi nedeplasate sau minim deplasate ale capului radial; fracturi nedeplasate sau stabile ale epifizei distale radius; fracturi nedeplasate ale olecranului; fracturi nedeplasate ale diafizelor - un os sau ambele; fractura-luxație Monteggia la copii). Fizioterapie / Recuperare medicală (după imobilizare sau intervenție chirurgicală). Tratament chirurgical: reducere deschisă și fixare internă (ORIF). Fixare cu plăci și/sau șuruburi (fracturi cap radial tip II; fracturi epifiză distală radius instabile/intra-articulare/ireductibile; fracturi olecran cominutive/instabile; fracturi diafize deplasate; fractura-luxație Galeazzi; fractura-luxație Monteggia). Excizia fragmentelor fracturate (cap radial, dacă fragmentele reprezintă sub25% din suprafață). Protezare (înlocuirea capului radial după excizie sau în fracturi cominutive tip III Mason, fractura-luxație Essex Lopresti). Reducere închisă (pentru fracturi deplasate dar stabile ale epifizei distale radius; luxația articulației radio-ulnare inferioare în fractura Galeazzi; fractura-luxație Monteggia la copii). Fixare cu broșe percutanate (K-wires) (după reducere închisă în fracturi instabile non-cominutive epifiză distală radius; pentru stabilizarea articulației radio-ulnare inferioare în fractura Galeazzi). Fixator extern (fracturi instabile/cominutive epifiză distală radius). Mobilizare precoce (după tratament chirurgical). Hobanaj (tension band wiring) - fixare cu broșe Kirschner/șuruburi și fir metalic (pentru fracturi simple ale olecranului). Excizia fragmentului fracturat proximal al olecranului și reinserția tendonului tricepsului (rar utilizată). Osteosinteză cu broșe centromedulare (pentru fracturi diafiza ulnei). Grefă de os (pentru fracturi diafizare cominutive cu pierderi osoase). Reducere deschisă a luxației (articulația radio-ulnară inferioară în fractura Galeazzi ca ultimă soluție; capul radial în fractura Monteggia dacă nu se reduce închis). Imobilizare în supinație (pentru luxația redusă închis în fractura Galeazzi)."
